Title/Paragraph,Content
Title,Stamford Raffles's career and contributions to Singapore
Paragraph,"Due to scheduled maintenance, you may experience intermittent access from 1 Nov, 10pm to 2 Nov, 6am. We apologise for the inconvenience."
Paragraph,"Some services, including catalogue searches and reservations of physical items, will be unavailable from 10 Nov, Fri, 10pm to 12 Nov 2023, Sun, as we change our library system. We apologise for any inconvenience caused."
Paragraph,"Find books, journals, magazines, CDs or DVDs."
Paragraph,"Search through the databases of various libraries and archives, including our partners'."
Paragraph,"Discover more from various databases including EBSCO, EIU, JStor and others."
Paragraph,"Discover topics on Singapore, Arts, Business and more."
Paragraph,Dedicated resources on various topics for those aged 50 and above.
Paragraph,Newly-added to our collections.
Paragraph,Recent eBook titles added to our collections.
Paragraph,"Search and access archived photographs, maps, plans, official & private records, oral history & audio-visual recordings."
Paragraph,"Check out National Library's digitised collections of heritage books, manuscripts, music, photographs, newspapers & more."
Paragraph,
Paragraph,"The NLB Mobile app is your personal library, anywhere, anytime."
Paragraph,"Search and access archived photographs, maps, plans, official & private records, oral history & more."
Paragraph,"Check out National Library's digitised collections of heritage books, manuscripts, music, photographs, newspapers & more."
Paragraph,"Quarterly publication featuring articles on history, culture and heritage of Singapore within the larger Asian context."
Paragraph,Read the latest stories and fun facts from our shelves.
Paragraph,"Learn about Singapore's buildings, places and spaces, and the stories behind them."
Paragraph,"Explore over 7,500 geo-referenced maps from our collections."
Paragraph,The best of Singapore books suitable for children and teens. Uncover narratives about Singapore both imagined and real!
Paragraph,Discover learning materials from Video Learning Portal.
Paragraph,Navigate the shift of growth opportunities to Asia with curated resources and programmes.
Paragraph,Find and join a Learning Community.
Paragraph,"Begin your learning journey by making use of our curated content, learning pathways and communities."
Paragraph,Learn info-literacy skills to assess reliability of information using Source Understand Research and Evaluate framework.
Paragraph,The National Reading Movement aims to nurture a vibrant reading culture in Singapore amongst adults and seniors.
Paragraph,"Resources for children, teens, families and educators in reading and learning."
Paragraph,"A platform where you can choose what, when and how you learn. Customise your learning journey with resources across a wide range of topics."
Paragraph,"Custodians of Singapore’s collective memory, ranging from Government files, photographs, audio-visual recordings and more."
Paragraph,"Singapore's national library with the largest public reference collection covering social sciences, local works and more."
Paragraph,Pursue lifelong learning and discovery through our network of public libraries located conveniently across Singapore.
Paragraph,Premier resource provider for works about Singapore and the region for local and overseas researchers and academics.
Paragraph,Offers working adults a diverse collection for professional development.
Paragraph,An overview of all our libraries and institutions island-wide.
Paragraph,"The NLB Mobile app is your personal library, anywhere, anytime."
Paragraph,"From corporate events to music performances, we provide venues equipped for all kinds of functions."
Paragraph,"Make a reservation for Project Rooms, Music Facilities, Screening Rooms and Event Venues."
Paragraph,Learn how to use our libraries for a great learning experience.
Paragraph,"Check your loans and reservations, and access other account services."
Paragraph,"Free access to NLB eResources such as eDatabases, eBooks and eMagazines."
Paragraph,Overview about National Archives of Singapore.
Paragraph,"Restored by the National Archives of Singapore, it currently houses a permanent World War II exhibition on the war and its legacies."
Paragraph,"Search and access archived photographs, maps, plans, official & private records, oral history & more."
Paragraph,Overview about National Library Singapore.
Paragraph,"Singapore's national library with the largest public reference collection covering social sciences, local works and more."
Paragraph,Premier resource provider for works about Singapore and the region for local and overseas researchers and academics.
Paragraph,Discover our rich collections with a wide range of resources in various subjects and formats.
Paragraph,Check out our suite of services to assist your research.
Paragraph,"Read about the facilities at the National Library, Singapore."
Paragraph,Check out our network of public libraries across Singapore.
